request_date,request_time,response_date,response_time,status_code,duration_ms,request_id
11.09.2025,14:10:00.06737,11.09.2025,14:10:00.20847,200,141,adf00f5a-0a68-45a8-b7df-869274697932
11.09.2025,14:10:00.07477,11.09.2025,14:10:00.21384,200,139,7f49d6f2-348d-435f-bde5-7919da786887
11.09.2025,14:10:00.06681,11.09.2025,14:10:00.22117,200,155,70093a87-f5fd-4cff-b65f-80a9c05afbc2
11.09.2025,14:10:00.06623,11.09.2025,14:10:00.22867,200,162,cc561a47-bd13-47b2-abf6-b535358c3d46
11.09.2025,14:10:00.06562,11.09.2025,14:10:00.23012,200,165,a751612c-71fd-45fd-8c36-ad1e3f739bb6
11.09.2025,14:10:00.07419,11.09.2025,14:10:00.23711,200,163,d74030bc-6acc-46d7-9b2e-1d859ecee926
11.09.2025,14:10:00.07351,11.09.2025,14:10:00.24272,200,169,b0213c08-09e4-4790-bc57-e83c3e6ef531
11.09.2025,14:10:00.06791,11.09.2025,14:10:00.24445,200,177,5ca159a3-f322-47a3-9477-ecdaaba7ef39
11.09.2025,14:10:00.06477,11.09.2025,14:10:00.25764,200,193,9a407218-43f8-4c68-80d5-90a61f4d5898
11.09.2025,14:10:00.05802,11.09.2025,14:10:00.26411,200,206,b91c87ef-c83a-4352-a927-2eaff8bbd965
11.09.2025,14:10:00.07848,11.09.2025,14:10:00.26543,200,187,7477ec14-753d-480e-b75c-6cdc8bcd517a
11.09.2025,14:10:00.07949,11.09.2025,14:10:00.27239,200,193,8cdf854e-ea77-441b-9534-9cf250488ec5
11.09.2025,14:10:00.07532,11.09.2025,14:10:00.27379,200,198,30bb7b7b-d148-4e52-a403-f1a78d71c810
11.09.2025,14:10:00.07640,11.09.2025,14:10:00.28226,200,206,f374a190-1767-4a6f-abc1-261e20c16f39
11.09.2025,14:10:00.07744,11.09.2025,14:10:00.28354,200,206,7cc48895-ba48-48c2-8869-29c1a3b6adb1
11.09.2025,14:10:00.07693,11.09.2025,14:10:00.28686,200,210,4b9eed22-712a-4828-8a8b-db2a83c5d8a3
11.09.2025,14:10:00.08054,11.09.2025,14:10:00.29058,200,210,12aebecf-dd02-459d-b006-6392e362a156
11.09.2025,14:10:00.08183,11.09.2025,14:10:00.29740,200,216,460bb6bf-e8a6-40f5-b1a6-4fac17d8721f
11.09.2025,14:10:00.08117,11.09.2025,14:10:00.29865,200,217,46b78460-c216-4f51-8310-a4792a3ee428
11.09.2025,14:10:00.07999,11.09.2025,14:10:00.30334,200,223,cf0a4fd8-47d8-4f7a-98c7-5ab61609b920
11.09.2025,14:10:00.08241,11.09.2025,14:10:00.30989,200,227,cfebb4af-f25d-4ba4-85e7-b3cd1c0caede
11.09.2025,14:10:00.08550,11.09.2025,14:10:00.31167,200,226,85c7725f-a8fb-4061-a9c8-f5407b498b0a
11.09.2025,14:10:00.08499,11.09.2025,14:10:00.31280,200,228,eb89e005-0cc2-4a2d-a6eb-e7622f7cb7ac
11.09.2025,14:10:00.07796,11.09.2025,14:10:00.31395,200,236,6bf831ff-2d21-4e07-ada0-e147f7c16916
11.09.2025,14:10:00.07897,11.09.2025,14:10:00.31508,200,237,bf8f0657-bd18-4ec5-be33-890536b57463
11.09.2025,14:10:00.07586,11.09.2025,14:10:00.31614,200,241,49d0ff08-3f7a-4673-8e45-c12b4032bed2
11.09.2025,14:10:00.08448,11.09.2025,14:10:00.31717,200,233,a9d624a9-c3fc-43cf-8cca-4f327a106009
11.09.2025,14:10:00.08393,11.09.2025,14:10:00.31828,200,235,63dad68f-a677-4a3c-b499-5b2b7cf96445
11.09.2025,14:10:00.08293,11.09.2025,14:10:00.31997,200,237,00a636bd-44a8-4aff-9b32-56ec6d4cac6c
11.09.2025,14:10:00.08343,11.09.2025,14:10:00.32346,200,240,4f4b0369-57b8-4fd2-a3ce-86c78d7f11e9
11.09.2025,14:10:01.06905,11.09.2025,14:10:01.13554,200,66,37544a2d-8b8c-4b80-a8c2-6374fd23b959
11.09.2025,14:10:01.07064,11.09.2025,14:10:01.13992,200,69,4f541c01-b681-4015-b20b-a75447cfd70c
11.09.2025,14:10:01.06983,11.09.2025,14:10:01.14428,200,75,ec56a3ac-4a20-4e50-b789-abae1f9730c5
11.09.2025,14:10:01.07391,11.09.2025,14:10:01.14813,200,75,90ee8ead-413d-46a5-b8b2-4f78e111890e
11.09.2025,14:10:01.07652,11.09.2025,14:10:01.15112,200,75,ac0c2511-88e2-4457-8ad0-21e7f4b8198d
11.09.2025,14:10:01.07602,11.09.2025,14:10:01.18131,200,105,b31f5526-87c9-428a-8ff9-4318dfe06242
11.09.2025,14:10:01.07290,11.09.2025,14:10:01.18263,200,110,c550e26b-1def-4401-b008-7207973301a1
11.09.2025,14:10:01.07340,11.09.2025,14:10:01.18799,200,115,30d379a1-8ee7-4dd4-889d-509b9b7a68e1
11.09.2025,14:10:01.07982,11.09.2025,14:10:01.18922,200,110,87111d1c-9b8a-490b-8267-95ee0113af7d
11.09.2025,14:10:01.08460,11.09.2025,14:10:01.19023,200,106,d645b50c-e49f-4133-ae26-ef1c51577879
11.09.2025,14:10:01.07888,11.09.2025,14:10:01.19125,200,113,bfc0e166-ae0c-4350-9830-f59e8ce8115e
11.09.2025,14:10:01.07838,11.09.2025,14:10:01.20036,200,122,977611f9-5e15-42a7-8847-33903e7d2151
11.09.2025,14:10:01.08041,11.09.2025,14:10:01.20265,200,122,d9b1d50e-d6b9-4ac2-9982-8392c5deed27
